loja,termo_busca,id,sku,nome,modelo,fabricante,preco_original,preco_venda,desconto,estoque,disponivel,vendedor,avaliacao,qtd_avaliacoes,url,imagem,preco_num,ram_gb,armazenamento_gb,modelo_norm,motivos_exclusao,valida
Kabum,galaxy s25,1063296,,Samsung Galaxy S25 Ultra 256gb Titânio Prata;Usado - Com Cuidado - Grade B,samsung-galaxy-s25-ultra-256gb-titanio-prata-usado-com-cuidado-grade-b,Samsung,4942.97,4942.97,0.0,0,True,OUTLET DO CELULAR,0.0,0,https://www.kabum.com.br/produto/1063296,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1063296/Samsung-Galaxy-S25-Ultra-256gb-Tit-nio-Prata-Usado-Com-Cuidado-Grade-B_1786388029.jpg,4942.97,,256.0,samsung-galaxy-s25-ultra-256gb-titanio-prata-usado-com-cuidado-grade-b,,True
Kabum,galaxy s25,703059,,"Smartphone Samsung Galaxy S25 Ultra 256gb 5g - Titânio Cinza, Com Caneta S Pen, Galaxy Ai, Câmera Quadrupla 200mp + Selfie 12mp, Ram 12gb, Tela 6.9""",smartphone-samsung-galaxy-s25-ultra-256gb-5g-titanio-cinza-com-caneta-s-pen-galaxy-ai-camera-quadrupla-200mp-selfie-12mp-ram-12gb-tela-6-9-,Samsung,5998.89,5399.0,10.0,0,True,MagaLu,0.0,0,https://www.kabum.com.br/produto/703059,https://images.kabum.com.br/produtos/fotos/sync_mirakl/703059/Smartphone-Samsung-Galaxy-S25-Ultra-256gb-5g-Tit-nio-Cinza-Com-Caneta-S-Pen-Galaxy-Ai-C-mera-Quadrupla-200mp-Selfie-12mp-Ram-12gb-Tela-6-9-_1786384723.jpg,5399.0,,256.0,smartphone-samsung-galaxy-s25-ultra-256gb-5g-titanio-cinza-com-caneta-s-pen-galaxy-ai-camera-quadrupla-200mp-selfie-12mp-ram-12gb-tela-6-9-,,True
Kabum,galaxy s25,947651,,Usado - Samsung Galaxy S25 256gb - Azul Marinho - Bom,usado-samsung-galaxy-s25-256gb-azul-marinho-bom,Samsung,3294.97,3294.97,0.0,0,True,OUTLET DO CELULAR,0.0,0,https://www.kabum.com.br/produto/947651,https://images.kabum.com.br/produtos/fotos/sync_mirakl/947651/Usado-Samsung-Galaxy-S25-256gb-Azul-Marinho-Bom_1786132136.jpg,3294.97,,256.0,usado-samsung-galaxy-s25-256gb-azul-marinho-bom,,True
Kabum,galaxy s25,947644,,Usado - Samsung Galaxy S25 256gb - Azul Claro - Aceitável,usado-samsung-galaxy-s25-256gb-azul-claro-aceitavel,Samsung,3031.29,3031.29,0.0,0,True,OUTLET DO CELULAR,0.0,0,https://www.kabum.com.br/produto/947644,https://images.kabum.com.br/produtos/fotos/sync_mirakl/947644/Usado-Samsung-Galaxy-S25-256gb-Azul-Claro-Aceit-vel_1786132136.jpg,3031.29,,256.0,usado-samsung-galaxy-s25-256gb-azul-claro-aceitavel,,True
Kabum,galaxy s25,939091,,"Celular Samsung Galaxy S25 Fe 5g, 256gb, 8GB Ram, Câmera Tripla De 50+12+8, Tela Grande De 6.7” Azul Marinho - Azul-marinho - 256 Gb",celular-samsung-galaxy-s25-fe-5g-256gb-8gb-ram-camera-tripla-de-50-12-8-tela-grande-de-6-7-azul-marinho-azul-marinho-256-gb-243a64,Samsung,4198.8,3778.92,10.0,0,True,CARREFOUR,0.0,0,https://www.kabum.com.br/produto/939091,https://images.kabum.com.br/produtos/fotos/sync_mirakl/939091/Celular-Samsung-Galaxy-S25-Fe-5g-256gb-8GB-Ram-C-mera-Tripla-De-50-12-8-Tela-Grande-De-6-7-Azul-Marinho-Azul-marinho-256-Gb_1771852612.jpg,3778.92,8.0,256.0,celular-samsung-galaxy-s25-fe-5g-256gb-8gb-ram-camera-tripla-de-50-12-8-tela-grande-de-6-7-azul-marinho-azul-marinho-256-gb-243a64,,True
Kabum,galaxy s25,724809,,"Smartphone Samsung Galaxy S25 Ultra, 5G, 512GB, 12GB RAM, Tela 6.9"", Titânio Preto",smartphone-samsung-galaxy-s25-ultra-5g-512gb-12gb-ram-tela-6-9-titanio-preto,Samsung,9499.99,9499.99,0.0,0,True,J&J,0.0,0,https://www.kabum.com.br/produto/724809,https://images.kabum.com.br/produtos/fotos/sync_mirakl/724809/Smartphone-Samsung-Galaxy-S25-Ultra-5G-512GB-12GB-RAM-Tela-6-9-Tit-nio-Preto_1767039520.png,9499.99,12.0,512.0,smartphone-samsung-galaxy-s25-ultra-5g-512gb-12gb-ram-tela-6-9-titanio-preto,,True
Kabum,galaxy s25,1069176,,Celular Samsung Galaxy S25 Ultra 512 Gb 12gb Ram Recondicionado Preto,celular-samsung-galaxy-s25-ultra-512-gb-12gb-ram-recondicionado-preto,Samsung,6499.0,6369.02,2.0,0,True,MERCADOONLINESP,0.0,0,https://www.kabum.com.br/produto/1069176,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1069176/Celular-Samsung-Galaxy-S25-Ultra-512-Gb-12gb-Ram-Recondicionado-Preto_1787856823.jpg,6369.02,12.0,512.0,celular-samsung-galaxy-s25-ultra-512-gb-12gb-ram-recondicionado-preto,,True
Kabum,galaxy s25,876186,,"Celular Samsung Galaxy S25 Edge 5g, 512gb, 12gb Ram, Câmera Dupla De Até 200mp, Tela Grande De 6.7” - Titânio Azul",celular-samsung-galaxy-s25-edge-5g-512gb-12gb-ram-camera-dupla-de-ate-200mp-tela-grande-de-6-7-titanio-azul,Samsung,4229.0,4017.55,5.0,0,True,MASTERCELL,0.0,0,https://www.kabum.com.br/produto/876186,https://images.kabum.com.br/produtos/fotos/sync_mirakl/876186/Celular-Samsung-Galaxy-S25-Edge-5g-512gb-12gb-Ram-C-mera-Dupla-De-At-200mp-Tela-Grande-De-6-7-Tit-nio-Azul_1782742118.jpg,4017.55,12.0,512.0,celular-samsung-galaxy-s25-edge-5g-512gb-12gb-ram-camera-dupla-de-ate-200mp-tela-grande-de-6-7-titanio-azul,,True
Kabum,galaxy s25,999171,,Usado - Samsung S25 Edge 512 Gb Preto - Excelente,usado-samsung-s25-edge-512-gb-preto-excelente,Samsung,3816.13,3434.52,10.0,0,True,CELLULAR STORE,0.0,0,https://www.kabum.com.br/produto/999171,https://images.kabum.com.br/produtos/fotos/sync_mirakl/999171/Usado-Samsung-S25-Edge-512-Gb-Preto-Excelente_1783965242.jpg,3434.52,,512.0,usado-samsung-s25-edge-512-gb-preto-excelente,,True
Kabum,galaxy s25,1060376,,"Celular Samsung Galaxy S25 Fe 5g, 128GB, 8GB Ram, Camera Tripla 50+12+8mp, Tela 6.7 Jetblack",celular-samsung-galaxy-s25-fe-5g-128gb-8gb-ram-camera-tripla-50-12-8mp-tela-6-7-jetblack,Samsung,4349.99,4262.99,2.0,0,True,J&J,0.0,0,https://www.kabum.com.br/produto/1060376,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1060376/Celular-Samsung-Galaxy-S25-Fe-5g-128GB-8GB-Ram-Camera-Tripla-50-12-8mp-Tela-6-7-Jetblack_1785172417.webp,4262.99,8.0,128.0,celular-samsung-galaxy-s25-fe-5g-128gb-8gb-ram-camera-tripla-50-12-8mp-tela-6-7-jetblack,,True
Kabum,galaxy s25,1034594,,Samsung Galaxy S25 Fe 5g 128GB 8GB Azul,samsung-galaxy-s25-fe-5g-128gb-8gb-azul,Samsung,3899.99,3899.99,0.0,0,True,J&J,0.0,0,https://www.kabum.com.br/produto/1034594,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1034594/Samsung-Galaxy-S25-Fe-5g-128GB-8GB-Azul_1777986824.jpg,3899.99,,128.0,samsung-galaxy-s25-fe-5g-128gb-8gb-azul,,True
Kabum,galaxy s25,1025113,,Usado - Samsung S25 Fe 256 Gb Preto - Excelente,usado-samsung-s25-fe-256-gb-preto-excelente,Samsung,3224.73,3224.73,0.0,0,True,CELLULAR STORE,0.0,0,https://www.kabum.com.br/produto/1025113,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1025113/Usado-Samsung-S25-Fe-256-Gb-Preto-Excelente_1775067530.jpg,3224.73,,256.0,usado-samsung-s25-fe-256-gb-preto-excelente,,True
Kabum,galaxy s25,989740,,Usado - Samsung S25 256 Gb Azul - Muito Bom,usado-samsung-s25-256-gb-azul-muito-bom,Samsung,3786.17,3786.17,0.0,0,True,KaBuM!,0.0,0,https://www.kabum.com.br/produto/989740,https://images.kabum.com.br/produtos/fotos/sync_mirakl/989740/Usado-Samsung-S25-256-Gb-Azul-Muito-Bom_1783965249.jpg,3786.17,,256.0,usado-samsung-s25-256-gb-azul-muito-bom,,True
Kabum,galaxy s25,951149,,S25+ (512gb) - Prata + Watch7 Bt 40mm - Creme,s25-512gb-prata-watch7-bt-40mm-creme-kit-512-gb,Samsung,11298.0,10620.12,6.0,0,True,KaBuM!,0.0,0,https://www.kabum.com.br/produto/951149,https://images.kabum.com.br/produtos/fotos/sync_mirakl/951149/S25-512gb-Prata-Watch7-Bt-40mm-Creme_1762192416.jpg,10620.12,,512.0,s25-512gb-prata-watch7-bt-40mm-creme-kit-512-gb,,True
Kabum,galaxy s25,951143,,S25 Ultra (256gb) - Titânio Azul + Buds3 Fe - Preto,s25-ultra-256gb-titanio-azul-buds3-fe-preto-kit-256-gb,Samsung,12098.0,11372.12,6.0,0,True,KaBuM!,0.0,0,https://www.kabum.com.br/produto/951143,https://images.kabum.com.br/produtos/fotos/sync_mirakl/951143/S25-Ultra-256gb-Tit-nio-Azul-Buds3-Fe-Preto_1762192115.jpg,11372.12,,256.0,s25-ultra-256gb-titanio-azul-buds3-fe-preto-kit-256-gb,,True
Kabum,galaxy s25,700430,,Capa Protetora Silicone Galaxy S25 Preta,capa-protetora-silicone-galaxy-s25-preta,Samsung,129.0,122.55,5.0,0,True,MASTERCELL,0.0,0,https://www.kabum.com.br/produto/700430,https://images.kabum.com.br/produtos/fotos/sync_mirakl/700430/Capa-Protetora-Silicone-Galaxy-S25-Preta_1790077120.jpg,122.55,,,capa-protetora-silicone-galaxy-s25-preta,preço incompatível com smartphone do escopo,False
Kabum,galaxy s25,700404,,Capa Protetora Transparente Galaxy S25 Ultra Transparente,capa-protetora-transparente-galaxy-s25-ultra-transparente,Samsung,69.0,65.55,5.0,0,True,MASTERCELL,0.0,0,https://www.kabum.com.br/produto/700404,https://images.kabum.com.br/produtos/fotos/sync_mirakl/700404/Capa-Protetora-Transparente-Galaxy-S25-Ultra-Transparente_1790077730.jpg,65.55,,,capa-protetora-transparente-galaxy-s25-ultra-transparente,preço incompatível com smartphone do escopo,False
Kabum,galaxy s25,875861,,Capa Protetora De Silicone Galaxy S25 Edge Cinza,capa-protetora-de-silicone-galaxy-s25-edge-cinza,Samsung,92.06,87.46,5.0,0,True,MASTERCELL,0.0,0,https://www.kabum.com.br/produto/875861,https://images.kabum.com.br/produtos/fotos/sync_mirakl/875861/Capa-Protetora-De-Silicone-Galaxy-S25-Edge-Cinza_1768403614.jpg,87.46,,,capa-protetora-de-silicone-galaxy-s25-edge-cinza,preço incompatível com smartphone do escopo,False
Kabum,galaxy s25,875865,,Capa Protetora De Silicone Galaxy S25 Edge Azul Claro,capa-protetora-de-silicone-galaxy-s25-edge-azul-claro,Samsung,92.06,87.46,5.0,0,True,MASTERCELL,0.0,0,https://www.kabum.com.br/produto/875865,https://images.kabum.com.br/produtos/fotos/sync_mirakl/875865/Capa-Protetora-De-Silicone-Galaxy-S25-Edge-Azul-Claro_1763412524.jpg,87.46,,,capa-protetora-de-silicone-galaxy-s25-edge-azul-claro,preço incompatível com smartphone do escopo,False
Kabum,galaxy s25,700406,,Capa Protetora Transparente Galaxy S25+ Transparente,capa-protetora-transparente-galaxy-s25-transparente,Samsung,59.0,56.05,5.0,0,True,MASTERCELL,0.0,0,https://www.kabum.com.br/produto/700406,https://images.kabum.com.br/produtos/fotos/sync_mirakl/700406/Capa-Protetora-Transparente-Galaxy-S25-Transparente_1790077116.jpg,56.05,,,capa-protetora-transparente-galaxy-s25-transparente,preço incompatível com smartphone do escopo,False
Kabum,galaxy s25,700435,,Capa Protetora Transparente Galaxy S25 Transparente,capa-protetora-transparente-galaxy-s25-transparente,Samsung,59.0,56.05,5.0,0,True,MASTERCELL,0.0,0,https://www.kabum.com.br/produto/700435,https://images.kabum.com.br/produtos/fotos/sync_mirakl/700435/Capa-Protetora-Transparente-Galaxy-S25-Transparente_1790077737.jpg,56.05,,,capa-protetora-transparente-galaxy-s25-transparente,preço incompatível com smartphone do escopo,False
