termo_busca,id,nome,modelo,fabricante,categoria,vendedor,seller_id,preco_original,preco_venda,desconto,quantidade,avaliacao,qtd_avaliacoes,disponivel,marketplace,oferta,frete_gratis,imagem,thumbnail,produto_url
galaxy s25,700406,Capa Protetora Transparente Galaxy S25+ Transparente,capa-protetora-transparente-galaxy-s25-transparente,Samsung,Celular & Smartphone/Acessórios para Smartphones/Capas e Películas/Capas para Celular,MASTERCELL,3519,59.0,56.05,5,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/700406/Capa-Protetora-Transparente-Galaxy-S25-Transparente_1790077116.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/700406/medium/Capa-Protetora-Transparente-Galaxy-S25-Transparente_1790077116.jpg,https://www.kabum.com.br/produto/700406
galaxy s25,700435,Capa Protetora Transparente Galaxy S25 Transparente,capa-protetora-transparente-galaxy-s25-transparente,Samsung,Celular & Smartphone/Acessórios para Smartphones/Capas e Películas/Capas para Celular,MASTERCELL,3519,59.0,56.05,5,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/700435/Capa-Protetora-Transparente-Galaxy-S25-Transparente_1790077737.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/700435/medium/Capa-Protetora-Transparente-Galaxy-S25-Transparente_1790077737.jpg,https://www.kabum.com.br/produto/700435
galaxy s25,875862,Capa Protetora Transparente Galaxy S25 Edge Transparente,capa-protetora-transparente-galaxy-s25-edge-transparente,Samsung,Celular & Smartphone/Acessórios para Smartphones/Capas e Películas/Capas para Celular,MASTERCELL,3519,69.0,65.55,5,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/875862/Capa-Protetora-Transparente-Galaxy-S25-Edge-Transparente_1763412523.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/875862/medium/Capa-Protetora-Transparente-Galaxy-S25-Edge-Transparente_1763412523.jpg,https://www.kabum.com.br/produto/875862
galaxy s25,884995,Cabo Para Samsung Usb C Para Usb C Longo 1.80m Para Galaxy A15 A55 A54 A34 A25 S25 Edge S25 Ultra,cabo-para-samsung-usb-c-para-usb-c-longo-1-80m-para-galaxy-a15-a55-a54-a34-a25-s25-edge-s25-ultra,Samsung,"Tablets, iPads e E-readers/Acessórios para Tablets/Conectores",MOREIRA ACESSORIOS,16545,61.9,61.9,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/884995/Cabo-Para-Samsung-Usb-C-Para-Usb-C-Longo-1-80m-Para-Galaxy-A15-A55-A54-A34-A25-S25-Edge-S25-Ultra_1772485718.png,https://images.kabum.com.br/produtos/fotos/sync_mirakl/884995/medium/Cabo-Para-Samsung-Usb-C-Para-Usb-C-Longo-1-80m-Para-Galaxy-A15-A55-A54-A34-A25-S25-Edge-S25-Ultra_1772485718.png,https://www.kabum.com.br/produto/884995
galaxy s25,884996,Cabo Para Samsung 1.80m Para Galaxy S25 Edge Galaxy S25 Ultra Galaxy S25plus S25+ S24 S24ultra S24+,cabo-para-samsung-1-80m-para-galaxy-s25-edge-galaxy-s25-ultra-galaxy-s25plus-s25-s24-s24ultra-s24-,Samsung,"Tablets, iPads e E-readers/Acessórios para Tablets/Conectores",TYRU SHOPs,10142,57.99,57.99,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/884996/Cabo-Para-Samsung-1-80m-Para-Galaxy-S25-Edge-Galaxy-S25-Ultra-Galaxy-S25plus-S25-S24-S24ultra-S24-_1770926987.png,https://images.kabum.com.br/produtos/fotos/sync_mirakl/884996/medium/Cabo-Para-Samsung-1-80m-Para-Galaxy-S25-Edge-Galaxy-S25-Ultra-Galaxy-S25plus-S25-S24-S24ultra-S24-_1770926987.png,https://www.kabum.com.br/produto/884996
galaxy s25,1066394,Carregador Samsung Galaxy A07 A17 A27 A37 A57 S24fe S25fe,carregador-samsung-galaxy-a07-a17-a27-a37-a57-s24fe-s25fe,Samsung,Celular & Smartphone/Acessórios para Smartphones/Carregadores/Carregador de Parede,TYRU SHOPs,10142,109.0,109.0,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1066394/Carregador-Samsung-Galaxy-A07-A17-A27-A37-A57-S24fe-S25fe_1787170422.png,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1066394/medium/Carregador-Samsung-Galaxy-A07-A17-A27-A37-A57-S24fe-S25fe_1787170422.png,https://www.kabum.com.br/produto/1066394
galaxy s25,640811,Pontas Para Canetas S-pen Samsung S23 Ultra S24 ultra S25Ultra Ponta Fina,pontas-para-canetas-s-pen-samsung-s23-ultra-s24-ultra-s25ultra-ponta-fina,Samsung,"Tablets, iPads e E-readers/Acessórios para Tablets",TYRU SHOPs,10142,30.0,30.0,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/640811/Pontas-Para-Canetas-S-pen-Samsung-S23-Ultra-S24-ultra-S25Ultra-Ponta-Fina_1761835114.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/640811/medium/Pontas-Para-Canetas-S-pen-Samsung-S23-Ultra-S24-ultra-S25Ultra-Ponta-Fina_1761835114.jpg,https://www.kabum.com.br/produto/640811
galaxy s24,520344,"Smartphone Samsung Galaxy S24 Ultra, 5G, 256GB, 12GB RAM, Câmera 200MP, Tela 6.8"" 120Hz, S Pen, Preto",smartphone-samsung-galaxy-s24-ultra-5g-256gb-12gb-ram-camera-200mp-tela-6-8-120hz-s-pen-preto,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,Magalu,1000,5998.89,5399.0,10,0,5.0,9,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520344/Smartphone-Samsung-Galaxy-S24-Ultra-5G-256GB-12GB-RAM-C-mera-200MP-Tela-6-8-120Hz-S-Pen-Preto_1751571299.png,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520344/medium/Smartphone-Samsung-Galaxy-S24-Ultra-5G-256GB-12GB-RAM-C-mera-200MP-Tela-6-8-120Hz-S-Pen-Preto_1751571299.png,https://www.kabum.com.br/produto/520344
galaxy s24,520331,"Celular Samsung Galaxy S24 Ultra, 512gb, 12gb De Ram, Tela De 6.8”, Galaxy Ai Titânio Preto",celular-samsung-galaxy-s24-ultra-512gb-12gb-de-ram-tela-de-6-8-galaxy-ai-titanio-preto,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,Magalu,1000,7899.0,7109.1,10,0,5.0,1,True,True,False,False,https://images.kabum.com.br/produtos/fotos/520331/celular-samsung-galaxy-s24-ultra-512gb-12gb-de-ram-tela-de-6-8-galaxy-ai-titanio-preto_1735248459_original.jpg,https://images.kabum.com.br/produtos/fotos/520331/celular-samsung-galaxy-s24-ultra-512gb-12gb-de-ram-tela-de-6-8-galaxy-ai-titanio-preto_1735248459_m.jpg,https://www.kabum.com.br/produto/520331
galaxy s24,1015978,Usado - Samsung Galaxy S24 Ultra 256gb - Titanio Preto - Bom,usado-samsung-galaxy-s24-ultra-256gb-titanio-preto-bom,Samsung,Celular & Smartphone/Smartphones/iPhone/IPhone 15,OUTLET DO CELULAR,12470,3912.97,3912.97,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1015978/Usado-Samsung-Galaxy-S24-Ultra-256gb-Titanio-Preto-Bom_1786131818.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1015978/medium/Usado-Samsung-Galaxy-S24-Ultra-256gb-Titanio-Preto-Bom_1786131818.jpg,https://www.kabum.com.br/produto/1015978
galaxy s24,927946,Usado - Samsung Galaxy S24 256gb - Preto - Aceitável,usado-samsung-galaxy-s24-256gb-preto-aceitavel,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,OUTLET DO CELULAR,12470,2036.31,2036.31,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/927946/Usado-Samsung-Galaxy-S24-256gb-Preto-Aceit-vel_1786691937.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/927946/medium/Usado-Samsung-Galaxy-S24-256gb-Preto-Aceit-vel_1786691937.jpg,https://www.kabum.com.br/produto/927946
galaxy s24,927903,Usado - Samsung Galaxy S24 256gb - Preto - Excelente,usado-samsung-galaxy-s24-256gb-preto-excelente,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,OUTLET DO CELULAR,12470,2357.67,2357.67,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/927903/Usado-Samsung-Galaxy-S24-256gb-Preto-Excelente_1786691934.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/927903/medium/Usado-Samsung-Galaxy-S24-256gb-Preto-Excelente_1786691934.jpg,https://www.kabum.com.br/produto/927903
